restaurants__restaurant__R__res_id,restaurants__restaurant__apikey,restaurants__restaurant__average_cost_for_two,restaurants__restaurant__book_again_url,restaurants__restaurant__book_form_web_view_url,restaurants__restaurant__cuisines,restaurants__restaurant__currency,restaurants__restaurant__deeplink,restaurants__restaurant__events_url,restaurants__restaurant__featured_image,restaurants__restaurant__has_online_delivery,restaurants__restaurant__has_table_booking,restaurants__restaurant__id,restaurants__restaurant__include_bogo_offers,restaurants__restaurant__is_book_form_web_view,restaurants__restaurant__is_delivering_now,restaurants__restaurant__is_table_reservation_supported,restaurants__restaurant__is_zomato_book_res,restaurants__restaurant__location__address,restaurants__restaurant__location__city,restaurants__restaurant__location__city_id,restaurants__restaurant__location__country_id,restaurants__restaurant__location__latitude,restaurants__restaurant__location__locality,restaurants__restaurant__location__locality_verbose,restaurants__restaurant__location__longitude,restaurants__restaurant__location__zipcode,restaurants__restaurant__menu_url,restaurants__restaurant__mezzo_provider,restaurants__restaurant__name,restaurants__restaurant__opentable_support,restaurants__restaurant__photos_url,restaurants__restaurant__price_range,restaurants__restaurant__switch_to_order_menu,restaurants__restaurant__thumb,restaurants__restaurant__url,restaurants__restaurant__user_rating__aggregate_rating,restaurants__restaurant__user_rating__rating_color,restaurants__restaurant__user_rating__rating_text,restaurants__restaurant__user_rating__votes,results_found,results_shown,results_start
18181699,hidden,60,,,Cafe,MYR,zomato://restaurant/18181699,https://www.zomato.com/kuala-lumpur/vcr-coffee-cakes-bukit-bintang/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18181699_CHAIN_3fbc5ac2626f80ef56a5dd9bab317098.jpg,0,0,18181699,True,0,0,0,0,"2, Jalan Galloway, Bukit Bintang, Kuala Lumpur 50150",Kuala Lumpur,88,123,3.143150761,Bukit Bintang,"Bukit Bintang, Kuala Lumpur",101.7055554315,50150,https://www.zomato.com/kuala-lumpur/vcr-coffee-cakes-bukit-bintang/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,VCR Coffee & Cakes,0,https://www.zomato.com/kuala-lumpur/vcr-coffee-cakes-bukit-bintang/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,0,https://b.zmtcdn.com/data/res_imagery/18181699_CHAIN_3fbc5ac2626f80ef56a5dd9bab317098.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/vcr-coffee-cakes-bukit-bintang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.9,3F7E00,Excellent,187,16645,20,0
18517535,hidden,80,,,Japanese,MYR,zomato://restaurant/18517535,https://www.zomato.com/kuala-lumpur/the-tokyo-restaurant-bukit-bintang/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,,0,0,18517535,True,0,0,0,0,"Fourth Floor, Isetan, Lot 10, Jalan Sultan Ismail, Bukit Bintang, Kuala Lumpur 50250",Kuala Lumpur,88,123,3.1462072587,Lot 10,"Lot 10, Kuala Lumpur",101.7119616024,50250,https://www.zomato.com/kuala-lumpur/the-tokyo-restaurant-bukit-bintang/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,The Tokyo Restaurant,0,https://www.zomato.com/kuala-lumpur/the-tokyo-restaurant-bukit-bintang/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,0,,https://www.zomato.com/kuala-lumpur/the-tokyo-restaurant-bukit-bintang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.9,3F7E00,Excellent,74,,,
18178637,hidden,35,,,"Chinese, Western",MYR,zomato://restaurant/18178637,https://www.zomato.com/kuala-lumpur/hutong-lot-10-bukit-bintang/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18178637_RESTAURANT_a6877b22b637fa85ac5b51290a86b95e.jpg,0,0,18178637,True,0,0,0,0,"Lower Ground Floor, Lot 10, Jalan Sultan Ismail, Bukit Bintang, Kuala Lumpur 50250",Kuala Lumpur,88,123,3.1458617392,Lot 10,"Lot 10, Kuala Lumpur",101.7119960859,50250,https://www.zomato.com/kuala-lumpur/hutong-lot-10-bukit-bintang/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,Hutong Lot 10,0,https://www.zomato.com/kuala-lumpur/hutong-lot-10-bukit-bintang/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3,0,https://b.zmtcdn.com/data/res_imagery/18178637_RESTAURANT_a6877b22b637fa85ac5b51290a86b95e.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/hutong-lot-10-bukit-bintang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.9,3F7E00,Excellent,85,,,
18178563,hidden,500,,,"Western, Chinese, Japanese",MYR,zomato://restaurant/18178563,https://www.zomato.com/kuala-lumpur/thirty8-grand-hyatt-kuala-lumpur-city-center/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18178563_RESTAURANT_4433d99ed7886107962303091deec307.png,0,0,18178563,True,0,0,0,0,"Level 38, Grand Hyatt, 12, Jalan Pinang, Kuala Lumpur City Center, Kuala Lumpur 50450",Kuala Lumpur,88,123,3.1502254686,Grand Hyatt,"Grand Hyatt, Kuala Lumpur",101.7162819207,50450,https://www.zomato.com/kuala-lumpur/thirty8-grand-hyatt-kuala-lumpur-city-center/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,THIRTY8 - Grand Hyatt,0,https://www.zomato.com/kuala-lumpur/thirty8-grand-hyatt-kuala-lumpur-city-center/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,0,https://b.zmtcdn.com/data/res_imagery/18178563_RESTAURANT_4433d99ed7886107962303091deec307.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/thirty8-grand-hyatt-kuala-lumpur-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.8,3F7E00,Excellent,64,,,
18180134,hidden,80,,,"Dim Sum, Chinese",MYR,zomato://restaurant/18180134,https://www.zomato.com/kuala-lumpur/din-tai-fung-bukit-bintang/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18180134_CHAIN_2a1a1a2b211e7c54a5c54f8c36b8df15.jpg,0,0,18180134,True,0,0,0,0,"6.01.05, Level 6, Pavilion Mall, 168, Jalan Bukit Bintang, Bukit Bintang, Kuala Lumpur 55100",Kuala Lumpur,88,123,3.149091,Pavilion Mall,"Pavilion Mall, Kuala Lumpur",101.713449,55100,https://www.zomato.com/kuala-lumpur/din-tai-fung-bukit-bintang/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,Din Tai Fung,0,https://www.zomato.com/kuala-lumpur/din-tai-fung-bukit-bintang/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,0,https://b.zmtcdn.com/data/res_imagery/18180134_CHAIN_2a1a1a2b211e7c54a5c54f8c36b8df15.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/din-tai-fung-bukit-bintang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.8,3F7E00,Excellent,62,,,
18179861,hidden,30,,,Indian,MYR,zomato://restaurant/18179861,https://www.zomato.com/kuala-lumpur/restoran-sri-nirwana-maju-bangsar-baru/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18179861_RESTAURANT_2ec783bd351debd07f6e3055659c9acb.jpg,0,0,18179861,True,0,0,0,0,"51, Jalan Telawi 3, Kuala Lumpur, Bangsar Baru, Bangsar 59100",Kuala Lumpur,88,123,3.1311444444,Bangsar Baru,"Bangsar Baru, Kuala Lumpur",101.6711194444,59100,https://www.zomato.com/kuala-lumpur/restoran-sri-nirwana-maju-bangsar-baru/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,Restoran Sri Nirwana Maju,0,https://www.zomato.com/kuala-lumpur/restoran-sri-nirwana-maju-bangsar-baru/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3,0,https://b.zmtcdn.com/data/res_imagery/18179861_RESTAURANT_2ec783bd351debd07f6e3055659c9acb.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/restoran-sri-nirwana-maju-bangsar-baru?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.7,3F7E00,Excellent,130,,,
18179601,hidden,70,,,Cafe,MYR,zomato://restaurant/18179601,https://www.zomato.com/kuala-lumpur/merchants-lane-kuala-lumpur-city-center/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18179601_RESTAURANT_bb8bd92f5f20a190b037d1f3a4b7f7e6.jpg,0,0,18179601,True,0,0,0,0,"150, Jalan Petaling, Kuala Lumpur City Center, Kuala Lumpur 59000",Kuala Lumpur,88,123,3.1410882302,Kuala Lumpur City Center,"Kuala Lumpur City Center, Kuala Lumpur",101.6978926957,59000,https://www.zomato.com/kuala-lumpur/merchants-lane-kuala-lumpur-city-center/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,Merchant's Lane,0,https://www.zomato.com/kuala-lumpur/merchants-lane-kuala-lumpur-city-center/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,0,https://b.zmtcdn.com/data/res_imagery/18179601_RESTAURANT_bb8bd92f5f20a190b037d1f3a4b7f7e6.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/merchants-lane-kuala-lumpur-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.7,3F7E00,Excellent,177,,,
18191859,hidden,60,,,Indian,MYR,zomato://restaurant/18191859,https://www.zomato.com/kuala-lumpur/wtf-bangsar-park/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18191859_RESTAURANT_fdf497e5cd71b33843a44b4f39ec07b6.jpg?output-format=webp,0,0,18191859,True,0,0,0,0,"98, Lorong Maarof, Bangsar Park, Bangsar, Kuala Lumpur 59000",Kuala Lumpur,88,123,3.13256,Bangsar Park,"Bangsar Park, Kuala Lumpur",101.673103,59000,https://www.zomato.com/kuala-lumpur/wtf-bangsar-park/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,WTF,0,https://www.zomato.com/kuala-lumpur/wtf-bangsar-park/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,0,https://b.zmtcdn.com/data/res_imagery/18191859_RESTAURANT_fdf497e5cd71b33843a44b4f39ec07b6.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/wtf-bangsar-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.7,3F7E00,Excellent,93,,,
18179644,hidden,100,,,Cafe,MYR,zomato://restaurant/18179644,https://www.zomato.com/kuala-lumpur/fahrenheit-600-jalan-dutamas/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18179644_CHAIN_d60f5c426d899049314c6ffba315d2c4.jpg,0,0,18179644,True,0,0,0,0,"A4.G2.08, Ground Floor, Block 4, Publika, Solaris Dutamas, 1, Jalan Dutamas, Kuala Lumpur 50480",Kuala Lumpur,88,123,3.1709264029,Publika,"Publika, Kuala Lumpur",101.6666670889,50480,https://www.zomato.com/kuala-lumpur/fahrenheit-600-jalan-dutamas/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,Fahrenheit 600,0,https://www.zomato.com/kuala-lumpur/fahrenheit-600-jalan-dutamas/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,0,https://b.zmtcdn.com/data/res_imagery/18179644_CHAIN_d60f5c426d899049314c6ffba315d2c4.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/fahrenheit-600-jalan-dutamas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.7,3F7E00,Excellent,55,,,
18179119,hidden,155,,,"Mediterranean, Western",MYR,zomato://restaurant/18179119,https://www.zomato.com/kuala-lumpur/quivo-bukit-bintang/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/18179119_RESTAURANT_648a91120134ba434a668a8490c453c9.jpg,0,0,18179119,True,0,0,0,0,"3.09.02, Level 3, Pavilion Mall, 168, Jalan Bukit Bintang, Bukit Bintang, Kuala Lumpur 55100",Kuala Lumpur,88,123,3.1487832806,Pavilion Mall,"Pavilion Mall, Kuala Lumpur",101.7126964778,55100,https://www.zomato.com/kuala-lumpur/quivo-bukit-bintang/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,OTHER,Quivo,0,https://www.zomato.com/kuala-lumpur/quivo-bukit-bintang/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,0,https://b.zmtcdn.com/data/res_imagery/18179119_RESTAURANT_648a91120134ba434a668a8490c453c9.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,https://www.zomato.com/kuala-lumpur/quivo-bukit-bintang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4.6,3F7E00,Excellent,78,,,
